Record	GBK	Record_Type	Record_Number	CC	Family	contig	region_number	accession
NZ_JAMYXP010000006.1.region001.gbk_region_1	NZ_JAMYXP010000006.1.region001	region	1	969	FAM_00035	NZ_JAMYXP010000006.1	1	GCF_024158985.1
NZ_JBHRYD010000007.1.region001.gbk_region_1	NZ_JBHRYD010000007.1.region001	region	1	969	FAM_00035	NZ_JBHRYD010000007.1	1	GCF_042648785.1
NZ_CP170082.1.region001.gbk_region_1	NZ_CP170082.1.region001	region	1	969	FAM_00035	NZ_CP170082.1	1	GCF_042181575.1
NZ_CP080590.1.region001.gbk_region_1	NZ_CP080590.1.region001	region	1	969	FAM_00035	NZ_CP080590.1	1	GCF_019504385.1
NZ_CP146608.1.region002.gbk_region_2	NZ_CP146608.1.region002	region	2	969	FAM_00035	NZ_CP146608.1	2	GCF_037113415.1
NZ_JACDXV010000007.1.region001.gbk_region_1	NZ_JACDXV010000007.1.region001	region	1	969	FAM_00036	NZ_JACDXV010000007.1	1	GCF_015158295.1
NZ_JBKJHF010000001.1.region001.gbk_region_1	NZ_JBKJHF010000001.1.region001	region	1	969	FAM_00036	NZ_JBKJHF010000001.1	1	GCF_046614475.1
NZ_CP075529.1.region005.gbk_region_5	NZ_CP075529.1.region005	region	5	969	FAM_00036	NZ_CP075529.1	5	GCF_025809055.1
NZ_JANQAJ010000005.1.region001.gbk_region_1	NZ_JANQAJ010000005.1.region001	region	1	969	FAM_00036	NZ_JANQAJ010000005.1	1	GCF_024707105.1
NZ_LMEM01000013.1.region001.gbk_region_1	NZ_LMEM01000013.1.region001	region	1	969	FAM_00036	NZ_LMEM01000013.1	1	GCF_001426345.1
NZ_JAMWDU010000007.1.region001.gbk_region_1	NZ_JAMWDU010000007.1.region001	region	1	969	FAM_00036	NZ_JAMWDU010000007.1	1	GCF_024273205.1
NZ_WQRF01000004.1.region001.gbk_region_1	NZ_WQRF01000004.1.region001	region	1	969	FAM_00036	NZ_WQRF01000004.1	1	GCF_009758415.1
NZ_JAEKMH010000003.1.region001.gbk_region_1	NZ_JAEKMH010000003.1.region001	region	1	969	FAM_00036	NZ_JAEKMH010000003.1	1	GCF_016411825.1
NZ_CP042304.1.region006.gbk_region_6	NZ_CP042304.1.region006	region	6	969	FAM_00036	NZ_CP042304.1	6	GCF_007859655.1
NZ_JAMZCU010000007.1.region001.gbk_region_1	NZ_JAMZCU010000007.1.region001	region	1	969	FAM_00036	NZ_JAMZCU010000007.1	1	GCF_024273195.1
NZ_LMGZ01000022.1.region001.gbk_region_1	NZ_LMGZ01000022.1.region001	region	1	969	FAM_00036	NZ_LMGZ01000022.1	1	GCF_001427605.1
NZ_JBHLYO010000011.1.region001.gbk_region_1	NZ_JBHLYO010000011.1.region001	region	1	1281	FAM_00037	NZ_JBHLYO010000011.1	1	GCF_042431865.1
NZ_BSNS01000002.1.region001.gbk_region_1	NZ_BSNS01000002.1.region001	region	1	1281	FAM_00037	NZ_BSNS01000002.1	1	GCF_030160115.1
NZ_JAQGJV010000082.1.region001.gbk_region_1	NZ_JAQGJV010000082.1.region001	region	1	1857	FAM_00038	NZ_JAQGJV010000082.1	1	GCF_028290435.1
NZ_JBEPOL010000004.1.region001.gbk_region_1	NZ_JBEPOL010000004.1.region001	region	1	1857	FAM_00038	NZ_JBEPOL010000004.1	1	GCF_040546795.1
NZ_CDRNJH010000001.1.region001.gbk_region_1	NZ_CDRNJH010000001.1.region001	region	1	2254	FAM_00039	NZ_CDRNJH010000001.1	1	GCF_977014175.1
NZ_CAXUPK020000007.1.region001.gbk_region_1	NZ_CAXUPK020000007.1.region001	region	1	2254	FAM_00039	NZ_CAXUPK020000007.1	1	GCF_964252865.1
NZ_LMHK01000003.1.region001.gbk_region_1	NZ_LMHK01000003.1.region001	region	1	2254	FAM_00039	NZ_LMHK01000003.1	1	GCF_001427875.1
NZ_JQGC01000003.1.region001.gbk_region_1	NZ_JQGC01000003.1.region001	region	1	2254	FAM_00039	NZ_JQGC01000003.1	1	GCF_000743575.1
NZ_JBMQPQ010000006.1.region001.gbk_region_1	NZ_JBMQPQ010000006.1.region001	region	1	2254	FAM_00039	NZ_JBMQPQ010000006.1	1	GCF_053550215.1
NZ_LMGZ01000019.1.region001.gbk_region_1	NZ_LMGZ01000019.1.region001	region	1	2393	FAM_00040	NZ_LMGZ01000019.1	1	GCF_001427605.1
NZ_LMEM01000010.1.region001.gbk_region_1	NZ_LMEM01000010.1.region001	region	1	2393	FAM_00040	NZ_LMEM01000010.1	1	GCF_001426345.1
NZ_UZWD01000036.1.region001.gbk_region_1	NZ_UZWD01000036.1.region001	region	1	2648	FAM_00041	NZ_UZWD01000036.1	1	GCF_900631955.1
NZ_MKUY01000003.1.region002.gbk_region_2	NZ_MKUY01000003.1.region002	region	2	2648	FAM_00041	NZ_MKUY01000003.1	2	GCF_001899045.1
NZ_JBHTMH010000001.1.region001.gbk_region_1	NZ_JBHTMH010000001.1.region001	region	1	2648	FAM_00041	NZ_JBHTMH010000001.1	1	GCF_042679405.1
NZ_BSNS01000007.1.region002.gbk_region_2	NZ_BSNS01000007.1.region002	region	2	2759	FAM_00042	NZ_BSNS01000007.1	2	GCF_030160115.1
NZ_JBHLYO010000012.1.region001.gbk_region_1	NZ_JBHLYO010000012.1.region001	region	1	2759	FAM_00042	NZ_JBHLYO010000012.1	1	GCF_042431865.1
NZ_UZWD01000022.1.region001.gbk_region_1	NZ_UZWD01000022.1.region001	region	1	2807	FAM_00043	NZ_UZWD01000022.1	1	GCF_900631955.1
NZ_MKUY01000004.1.region001.gbk_region_1	NZ_MKUY01000004.1.region001	region	1	2807	FAM_00043	NZ_MKUY01000004.1	1	GCF_001899045.1
NZ_JBHTMH010000003.1.region001.gbk_region_1	NZ_JBHTMH010000003.1.region001	region	1	2807	FAM_00043	NZ_JBHTMH010000003.1	1	GCF_042679405.1
NZ_CP104007.1.region005.gbk_region_5	NZ_CP104007.1.region005	region	5	3282	FAM_00044	NZ_CP104007.1	5	GCF_029201545.1
NZ_FPCK01000004.1.region001.gbk_region_1	NZ_FPCK01000004.1.region001	region	1	3282	FAM_00044	NZ_FPCK01000004.1	1	GCF_900116545.1
NZ_CP104002.1.region004.gbk_region_4	NZ_CP104002.1.region004	region	4	3282	FAM_00044	NZ_CP104002.1	4	GCF_029201565.1
NZ_JCACVZ010000001.1.region004.gbk_region_4	NZ_JCACVZ010000001.1.region004	region	4	3282	FAM_00044	NZ_JCACVZ010000001.1	4	GCF_059070485.1
NZ_JAIMBX010000004.1.region001.gbk_region_1	NZ_JAIMBX010000004.1.region001	region	1	3282	FAM_00045	NZ_JAIMBX010000004.1	1	GCF_032907385.1
NZ_LMLO01000002.1.region001.gbk_region_1	NZ_LMLO01000002.1.region001	region	1	3282	FAM_00045	NZ_LMLO01000002.1	1	GCF_001421945.1
NZ_LMQU01000014.1.region001.gbk_region_1	NZ_LMQU01000014.1.region001	region	1	3282	FAM_00045	NZ_LMQU01000014.1	1	GCF_001425445.1
NZ_JAQGJV010000035.1.region001.gbk_region_1	NZ_JAQGJV010000035.1.region001	region	1	3302	FAM_00046	NZ_JAQGJV010000035.1	1	GCF_028290435.1
NZ_JBEPOL010000003.1.region001.gbk_region_1	NZ_JBEPOL010000003.1.region001	region	1	3302	FAM_00046	NZ_JBEPOL010000003.1	1	GCF_040546795.1
NZ_JAQGJM010000040.1.region001.gbk_region_1	NZ_JAQGJM010000040.1.region001	region	1	3302	FAM_00046	NZ_JAQGJM010000040.1	1	GCF_028290625.1
NZ_FOMB01000021.1.region001.gbk_region_1	NZ_FOMB01000021.1.region001	region	1	3908	FAM_00047	NZ_FOMB01000021.1	1	GCF_900112505.1
NZ_FQVC01000014.1.region001.gbk_region_1	NZ_FQVC01000014.1.region001	region	1	3908	FAM_00047	NZ_FQVC01000014.1	1	GCF_900128975.1
NZ_JAPWHK010000012.1.region001.gbk_region_1	NZ_JAPWHK010000012.1.region001	region	1	3908	FAM_00047	NZ_JAPWHK010000012.1	1	GCF_027214225.1
NZ_JBTMWV010000039.1.region001.gbk_region_1	NZ_JBTMWV010000039.1.region001	region	1	3908	FAM_00047	NZ_JBTMWV010000039.1	1	GCF_054489345.1
NZ_JQGC01000048.1.region001.gbk_region_1	NZ_JQGC01000048.1.region001	region	1	3908	FAM_00047	NZ_JQGC01000048.1	1	GCF_000743575.1
NZ_LAJF01000040.1.region001.gbk_region_1	NZ_LAJF01000040.1.region001	region	1	3908	FAM_00047	NZ_LAJF01000040.1	1	GCF_000970435.1
NZ_JAVKFR010000033.1.region002.gbk_region_2	NZ_JAVKFR010000033.1.region002	region	2	3908	FAM_00047	NZ_JAVKFR010000033.1	2	GCF_040223715.1
NZ_JAFKHC010000010.1.region001.gbk_region_1	NZ_JAFKHC010000010.1.region001	region	1	4273	FAM_00048	NZ_JAFKHC010000010.1	1	GCF_017307475.1
NZ_MKVA01000002.1.region001.gbk_region_1	NZ_MKVA01000002.1.region001	region	1	4273	FAM_00048	NZ_MKVA01000002.1	1	GCF_001899075.1
NZ_FQVC01000010.1.region001.gbk_region_1	NZ_FQVC01000010.1.region001	region	1	4403	FAM_00049	NZ_FQVC01000010.1	1	GCF_900128975.1
NZ_LAJF01000076.1.region002.gbk_region_2	NZ_LAJF01000076.1.region002	region	2	4403	FAM_00049	NZ_LAJF01000076.1	2	GCF_000970435.1
NZ_CP170085.1.region001.gbk_region_1	NZ_CP170085.1.region001	region	1	4963	FAM_00050	NZ_CP170085.1	1	GCF_042181575.1
NZ_JBEPOL010000012.1.region001.gbk_region_1	NZ_JBEPOL010000012.1.region001	region	1	4963	FAM_00050	NZ_JBEPOL010000012.1	1	GCF_040546795.1
NZ_CP104964.1.region001.gbk_region_1	NZ_CP104964.1.region001	region	1	4963	FAM_00050	NZ_CP104964.1	1	GCF_025452235.1
NZ_JBVKGV010000043.1.region001.gbk_region_1	NZ_JBVKGV010000043.1.region001	region	1	4963	FAM_00051	NZ_JBVKGV010000043.1	1	GCF_055633315.1
NZ_CP170084.1.region001.gbk_region_1	NZ_CP170084.1.region001	region	1	4963	FAM_00051	NZ_CP170084.1	1	GCF_042181575.1
NZ_JBTSEP010000004.1.region001.gbk_region_1	NZ_JBTSEP010000004.1.region001	region	1	4963	FAM_00051	NZ_JBTSEP010000004.1	1	GCF_054605195.1
NZ_JBTMWV010000004.1.region001.gbk_region_1	NZ_JBTMWV010000004.1.region001	region	1	5365	FAM_00052	NZ_JBTMWV010000004.1	1	GCF_054489345.1
NZ_JBTMWU010000004.1.region002.gbk_region_2	NZ_JBTMWU010000004.1.region002	region	2	5365	FAM_00052	NZ_JBTMWU010000004.1	2	GCF_054489375.1
NZ_JAFKHC010000009.1.region001.gbk_region_1	NZ_JAFKHC010000009.1.region001	region	1	5381	FAM_00053	NZ_JAFKHC010000009.1	1	GCF_017307475.1
NZ_MKVA01000006.1.region001.gbk_region_1	NZ_MKVA01000006.1.region001	region	1	5381	FAM_00053	NZ_MKVA01000006.1	1	GCF_001899075.1
NZ_CP042304.1.region001.gbk_region_1	NZ_CP042304.1.region001	region	1	5414	FAM_00054	NZ_CP042304.1	1	GCF_007859655.1
NZ_JANQAJ010000011.1.region002.gbk_region_2	NZ_JANQAJ010000011.1.region002	region	2	5414	FAM_00054	NZ_JANQAJ010000011.1	2	GCF_024707105.1
NZ_LMGZ01000004.1.region001.gbk_region_1	NZ_LMGZ01000004.1.region001	region	1	5414	FAM_00054	NZ_LMGZ01000004.1	1	GCF_001427605.1
NZ_LMEM01000015.1.region001.gbk_region_1	NZ_LMEM01000015.1.region001	region	1	5414	FAM_00054	NZ_LMEM01000015.1	1	GCF_001426345.1
NZ_JBHLYO010000001.1.region001.gbk_region_1	NZ_JBHLYO010000001.1.region001	region	1	5953	FAM_00055	NZ_JBHLYO010000001.1	1	GCF_042431865.1
NZ_BSNS01000008.1.region001.gbk_region_1	NZ_BSNS01000008.1.region001	region	1	5953	FAM_00055	NZ_BSNS01000008.1	1	GCF_030160115.1
NZ_LAJF01000062.1.region001.gbk_region_1	NZ_LAJF01000062.1.region001	region	1	7246	FAM_00056	NZ_LAJF01000062.1	1	GCF_000970435.1
NZ_FQVC01000004.1.region001.gbk_region_1	NZ_FQVC01000004.1.region001	region	1	7246	FAM_00056	NZ_FQVC01000004.1	1	GCF_900128975.1
NZ_MKVA01000005.1.region001.gbk_region_1	NZ_MKVA01000005.1.region001	region	1	8728	FAM_00057	NZ_MKVA01000005.1	1	GCF_001899075.1
NZ_JAFKHC010000003.1.region001.gbk_region_1	NZ_JAFKHC010000003.1.region001	region	1	8728	FAM_00057	NZ_JAFKHC010000003.1	1	GCF_017307475.1
NZ_JBEPOL010000007.1.region001.gbk_region_1	NZ_JBEPOL010000007.1.region001	region	1	215	FAM_00058	NZ_JBEPOL010000007.1	1	GCF_040546795.1
NZ_FOFL01000002.1.region002.gbk_region_2	NZ_FOFL01000002.1.region002	region	2	435	FAM_00059	NZ_FOFL01000002.1	2	GCF_900110945.1
NZ_CP034767.1.region006.gbk_region_6	NZ_CP034767.1.region006	region	6	591	FAM_00060	NZ_CP034767.1	6	GCF_004005995.1
NZ_JBKJHF010000001.1.region003.gbk_region_3	NZ_JBKJHF010000001.1.region003	region	3	957	FAM_00061	NZ_JBKJHF010000001.1	3	GCF_046614475.1
NZ_CP068047.1.region002.gbk_region_2	NZ_CP068047.1.region002	region	2	1578	FAM_00062	NZ_CP068047.1	2	GCF_016698645.1
NZ_CM147875.1.region004.gbk_region_4	NZ_CM147875.1.region004	region	4	1622	FAM_00063	NZ_CM147875.1	4	GCF_055808595.1
NZ_JZEY01000054.1.region001.gbk_region_1	NZ_JZEY01000054.1.region001	region	1	1675	FAM_00064	NZ_JZEY01000054.1	1	GCF_000969445.1
NZ_FOFL01000002.1.region001.gbk_region_1	NZ_FOFL01000002.1.region001	region	1	1715	FAM_00065	NZ_FOFL01000002.1	1	GCF_900110945.1
NZ_JAFKHE010000012.1.region001.gbk_region_1	NZ_JAFKHE010000012.1.region001	region	1	1993	FAM_00066	NZ_JAFKHE010000012.1	1	GCF_017307495.1
NZ_JBEPOO010000001.1.region001.gbk_region_1	NZ_JBEPOO010000001.1.region001	region	1	2567	FAM_00067	NZ_JBEPOO010000001.1	1	GCF_040546815.1
NZ_CP127251.1.region002.gbk_region_2	NZ_CP127251.1.region002	region	2	2819	FAM_00068	NZ_CP127251.1	2	GCF_030285925.1
NZ_JANQAJ010000013.1.region001.gbk_region_1	NZ_JANQAJ010000013.1.region001	region	1	3220	FAM_00069	NZ_JANQAJ010000013.1	1	GCF_024707105.1
NZ_JQGC01000025.1.region001.gbk_region_1	NZ_JQGC01000025.1.region001	region	1	3369	FAM_00070	NZ_JQGC01000025.1	1	GCF_000743575.1
NZ_JBTLRJ010000003.1.region002.gbk_region_2	NZ_JBTLRJ010000003.1.region002	region	2	4384	FAM_00071	NZ_JBTLRJ010000003.1	2	GCF_054482695.1
NZ_JBLXGA010000009.1.region001.gbk_region_1	NZ_JBLXGA010000009.1.region001	region	1	4426	FAM_00072	NZ_JBLXGA010000009.1	1	GCF_048261455.1
NZ_CP075529.1.region003.gbk_region_3	NZ_CP075529.1.region003	region	3	4534	FAM_00073	NZ_CP075529.1	3	GCF_025809055.1
NZ_CP075529.1.region002.gbk_region_2	NZ_CP075529.1.region002	region	2	4669	FAM_00074	NZ_CP075529.1	2	GCF_025809055.1
NZ_JZEY01000061.1.region001.gbk_region_1	NZ_JZEY01000061.1.region001	region	1	4903	FAM_00075	NZ_JZEY01000061.1	1	GCF_000969445.1
NZ_PYWB01000003.1.region001.gbk_region_1	NZ_PYWB01000003.1.region001	region	1	5068	FAM_00076	NZ_PYWB01000003.1	1	GCF_003056345.1
NZ_CP126539.1.region003.gbk_region_3	NZ_CP126539.1.region003	region	3	5256	FAM_00077	NZ_CP126539.1	3	GCF_030177755.1
NZ_JBHUNP010000001.1.region002.gbk_region_2	NZ_JBHUNP010000001.1.region002	region	2	5327	FAM_00078	NZ_JBHUNP010000001.1	2	GCF_042685625.1
NZ_BMZE01000004.1.region001.gbk_region_1	NZ_BMZE01000004.1.region001	region	1	5696	FAM_00079	NZ_BMZE01000004.1	1	GCF_014652635.1
NZ_FOMB01000022.1.region001.gbk_region_1	NZ_FOMB01000022.1.region001	region	1	6288	FAM_00080	NZ_FOMB01000022.1	1	GCF_900112505.1
NZ_PYVW01000018.1.region001.gbk_region_1	NZ_PYVW01000018.1.region001	region	1	6292	FAM_00081	NZ_PYVW01000018.1	1	GCF_003056355.1
NZ_CP068047.1.region001.gbk_region_1	NZ_CP068047.1.region001	region	1	6755	FAM_00082	NZ_CP068047.1	1	GCF_016698645.1
NZ_JAQGJV010000048.1.region001.gbk_region_1	NZ_JAQGJV010000048.1.region001	region	1	6864	FAM_00083	NZ_JAQGJV010000048.1	1	GCF_028290435.1
NZ_LANJ01000045.1.region001.gbk_region_1	NZ_LANJ01000045.1.region001	region	1	7379	FAM_00084	NZ_LANJ01000045.1	1	GCF_000971295.1
NZ_STGC01000002.1.region001.gbk_region_1	NZ_STGC01000002.1.region001	region	1	7512	FAM_00085	NZ_STGC01000002.1	1	GCF_005222805.1
NZ_JANQAJ010000006.1.region001.gbk_region_1	NZ_JANQAJ010000006.1.region001	region	1	7642	FAM_00086	NZ_JANQAJ010000006.1	1	GCF_024707105.1
NZ_JQGC01000006.1.region001.gbk_region_1	NZ_JQGC01000006.1.region001	region	1	7876	FAM_00087	NZ_JQGC01000006.1	1	GCF_000743575.1
NZ_CP063401.1.region002.gbk_region_2	NZ_CP063401.1.region002	region	2	7941	FAM_00088	NZ_CP063401.1	2	GCF_021729885.1
NZ_CP042304.1.region004.gbk_region_4	NZ_CP042304.1.region004	region	4	8029	FAM_00089	NZ_CP042304.1	4	GCF_007859655.1
NZ_CP092483.1.region002.gbk_region_2	NZ_CP092483.1.region002	region	2	8199	FAM_00090	NZ_CP092483.1	2	GCF_022429625.1
NZ_CP068046.1.region005.gbk_region_5	NZ_CP068046.1.region005	region	5	8359	FAM_00091	NZ_CP068046.1	5	GCF_016698665.1
NZ_PYVW01000012.1.region001.gbk_region_1	NZ_PYVW01000012.1.region001	region	1	8555	FAM_00092	NZ_PYVW01000012.1	1	GCF_003056355.1
NZ_JAQGJM010000009.1.region001.gbk_region_1	NZ_JAQGJM010000009.1.region001	region	1	8575	FAM_00093	NZ_JAQGJM010000009.1	1	GCF_028290625.1
NZ_JBEPOL010000008.1.region001.gbk_region_1	NZ_JBEPOL010000008.1.region001	region	1	8749	FAM_00094	NZ_JBEPOL010000008.1	1	GCF_040546795.1
NZ_CP068046.1.region002.gbk_region_2	NZ_CP068046.1.region002	region	2	8804	FAM_00095	NZ_CP068046.1	2	GCF_016698665.1
NZ_AP027921.1.region001.gbk_region_1	NZ_AP027921.1.region001	region	1	8937	FAM_00096	NZ_AP027921.1	1	GCF_055397495.1
NZ_JBLXGA010000002.1.region001.gbk_region_1	NZ_JBLXGA010000002.1.region001	region	1	9316	FAM_00097	NZ_JBLXGA010000002.1	1	GCF_048261455.1
NZ_CP092483.1.region005.gbk_region_5	NZ_CP092483.1.region005	region	5	9724	FAM_00098	NZ_CP092483.1	5	GCF_022429625.1
NZ_CP092483.1.region004.gbk_region_4	NZ_CP092483.1.region004	region	4	9877	FAM_00099	NZ_CP092483.1	4	GCF_022429625.1
NZ_JACYFU010000001.1.region001.gbk_region_1	NZ_JACYFU010000001.1.region001	region	1	10284	FAM_00100	NZ_JACYFU010000001.1	1	GCF_014837245.1
NZ_CP045422.1.region001.gbk_region_1	NZ_CP045422.1.region001	region	1	10459	FAM_00101	NZ_CP045422.1	1	GCF_014926585.1
NZ_CP063401.1.region004.gbk_region_4	NZ_CP063401.1.region004	region	4	10923	FAM_00102	NZ_CP063401.1	4	GCF_021729885.1
NZ_LANJ01000004.1.region001.gbk_region_1	NZ_LANJ01000004.1.region001	region	1	10961	FAM_00103	NZ_LANJ01000004.1	1	GCF_000971295.1
NZ_BMZE01000002.1.region001.gbk_region_1	NZ_BMZE01000002.1.region001	region	1	11335	FAM_00104	NZ_BMZE01000002.1	1	GCF_014652635.1
NZ_FXWK01000001.1.region004.gbk_region_4	NZ_FXWK01000001.1.region004	region	4	11584	FAM_00105	NZ_FXWK01000001.1	4	GCF_900177655.1
NZ_JAVKFR010000033.1.region001.gbk_region_1	NZ_JAVKFR010000033.1.region001	region	1	11666	FAM_00106	NZ_JAVKFR010000033.1	1	GCF_040223715.1
NZ_MKUZ01000013.1.region001.gbk_region_1	NZ_MKUZ01000013.1.region001	region	1	12444	FAM_00107	NZ_MKUZ01000013.1	1	GCF_001899065.1
NZ_JZEY01000054.1.region003.gbk_region_3	NZ_JZEY01000054.1.region003	region	3	12516	FAM_00108	NZ_JZEY01000054.1	3	GCF_000969445.1
NZ_CP126539.1.region004.gbk_region_4	NZ_CP126539.1.region004	region	4	12624	FAM_00109	NZ_CP126539.1	4	GCF_030177755.1
NZ_JBTSEP010000003.1.region001.gbk_region_1	NZ_JBTSEP010000003.1.region001	region	1	63	FAM_00146	NZ_JBTSEP010000003.1	1	GCF_054605195.1
NZ_JBVKGV010000033.1.region001.gbk_region_1	NZ_JBVKGV010000033.1.region001	region	1	63	FAM_00146	NZ_JBVKGV010000033.1	1	GCF_055633315.1
NZ_JBYUNO010000001.1.region001.gbk_region_1	NZ_JBYUNO010000001.1.region001	region	1	91	FAM_00147	NZ_JBYUNO010000001.1	1	GCF_058133495.1
NZ_JABAOM010000005.1.region001.gbk_region_1	NZ_JABAOM010000005.1.region001	region	1	91	FAM_00147	NZ_JABAOM010000005.1	1	GCF_013185955.1
NZ_CP034767.1.region001.gbk_region_1	NZ_CP034767.1.region001	region	1	91	FAM_00147	NZ_CP034767.1	1	GCF_004005995.1
NZ_JABAOL010000001.1.region002.gbk_region_2	NZ_JABAOL010000001.1.region002	region	2	91	FAM_00147	NZ_JABAOL010000001.1	2	GCF_013185965.1
NZ_JBYUNQ010000005.1.region001.gbk_region_1	NZ_JBYUNQ010000005.1.region001	region	1	91	FAM_00147	NZ_JBYUNQ010000005.1	1	GCF_058133665.1
NZ_CP026747.1.region001.gbk_region_1	NZ_CP026747.1.region001	region	1	287	FAM_00148	NZ_CP026747.1	1	GCF_002949085.1
NZ_JAMZCU010000008.1.region001.gbk_region_1	NZ_JAMZCU010000008.1.region001	region	1	287	FAM_00148	NZ_JAMZCU010000008.1	1	GCF_024273195.1
NZ_CP170082.1.region007.gbk_region_7	NZ_CP170082.1.region007	region	7	287	FAM_00148	NZ_CP170082.1	7	GCF_042181575.1
NZ_WQRF01000010.1.region001.gbk_region_1	NZ_WQRF01000010.1.region001	region	1	287	FAM_00148	NZ_WQRF01000010.1	1	GCF_009758415.1
NZ_JACIEW010000012.1.region001.gbk_region_1	NZ_JACIEW010000012.1.region001	region	1	287	FAM_00148	NZ_JACIEW010000012.1	1	GCF_014197055.1
NZ_CP080590.1.region002.gbk_region_2	NZ_CP080590.1.region002	region	2	287	FAM_00148	NZ_CP080590.1	2	GCF_019504385.1
NZ_JBTLRJ010000002.1.region002.gbk_region_2	NZ_JBTLRJ010000002.1.region002	region	2	287	FAM_00148	NZ_JBTLRJ010000002.1	2	GCF_054482695.1
NZ_JAVKFR010000034.1.region001.gbk_region_1	NZ_JAVKFR010000034.1.region001	region	1	287	FAM_00148	NZ_JAVKFR010000034.1	1	GCF_040223715.1
NZ_PYVZ01000013.1.region001.gbk_region_1	NZ_PYVZ01000013.1.region001	region	1	287	FAM_00148	NZ_PYVZ01000013.1	1	GCF_003056405.1
NZ_JAMYXP010000014.1.region001.gbk_region_1	NZ_JAMYXP010000014.1.region001	region	1	287	FAM_00148	NZ_JAMYXP010000014.1	1	GCF_024158985.1
NZ_JAMWDU010000006.1.region001.gbk_region_1	NZ_JAMWDU010000006.1.region001	region	1	287	FAM_00148	NZ_JAMWDU010000006.1	1	GCF_024273205.1
NZ_CP146608.1.region003.gbk_region_3	NZ_CP146608.1.region003	region	3	287	FAM_00148	NZ_CP146608.1	3	GCF_037113415.1
NZ_JBFUGO010000004.1.region001.gbk_region_1	NZ_JBFUGO010000004.1.region001	region	1	332	FAM_00149	NZ_JBFUGO010000004.1	1	GCF_056402875.1
NZ_JBFUCQ010000005.1.region001.gbk_region_1	NZ_JBFUCQ010000005.1.region001	region	1	332	FAM_00149	NZ_JBFUCQ010000005.1	1	GCF_056405135.1
NZ_JBFUFI010000005.1.region001.gbk_region_1	NZ_JBFUFI010000005.1.region001	region	1	332	FAM_00149	NZ_JBFUFI010000005.1	1	GCF_056403495.1
NZ_MKVB01000002.1.region001.gbk_region_1	NZ_MKVB01000002.1.region001	region	1	654	FAM_00150	NZ_MKVB01000002.1	1	GCF_001899085.1
NZ_CP012945.1.region002.gbk_region_2	NZ_CP012945.1.region002	region	2	654	FAM_00150	NZ_CP012945.1	2	GCF_001402915.1
NZ_LMEA01000010.1.region001.gbk_region_1	NZ_LMEA01000010.1.region001	region	1	654	FAM_00150	NZ_LMEA01000010.1	1	GCF_001425235.1
NZ_LMCR01000017.1.region001.gbk_region_1	NZ_LMCR01000017.1.region001	region	1	654	FAM_00150	NZ_LMCR01000017.1	1	GCF_001424865.1
NZ_CAXUPH020000005.1.region001.gbk_region_1	NZ_CAXUPH020000005.1.region001	region	1	654	FAM_00150	NZ_CAXUPH020000005.1	1	GCF_964252795.1
NZ_JAFKHA010000012.1.region001.gbk_region_1	NZ_JAFKHA010000012.1.region001	region	1	654	FAM_00150	NZ_JAFKHA010000012.1	1	GCF_017307535.1
NZ_JBXAPX010000006.1.region001.gbk_region_1	NZ_JBXAPX010000006.1.region001	region	1	654	FAM_00150	NZ_JBXAPX010000006.1	1	GCF_058806655.1
NZ_JBJDRE010000010.1.region001.gbk_region_1	NZ_JBJDRE010000010.1.region001	region	1	1120	FAM_00151	NZ_JBJDRE010000010.1	1	GCF_044987315.1
NZ_JNNO01000016.1.region001.gbk_region_1	NZ_JNNO01000016.1.region001	region	1	1120	FAM_00151	NZ_JNNO01000016.1	1	GCF_000735585.1
NZ_BSNG01000003.1.region001.gbk_region_1	NZ_BSNG01000003.1.region001	region	1	1120	FAM_00151	NZ_BSNG01000003.1	1	GCF_030159855.1
NZ_CP104965.1.region001.gbk_region_1	NZ_CP104965.1.region001	region	1	1120	FAM_00151	NZ_CP104965.1	1	GCF_025452235.1
NZ_JBHTMH010000001.1.region003.gbk_region_3	NZ_JBHTMH010000001.1.region003	region	3	2210	FAM_00152	NZ_JBHTMH010000001.1	3	GCF_042679405.1
NZ_UZWD01000029.1.region001.gbk_region_1	NZ_UZWD01000029.1.region001	region	1	2210	FAM_00152	NZ_UZWD01000029.1	1	GCF_900631955.1
NZ_MKUY01000005.1.region001.gbk_region_1	NZ_MKUY01000005.1.region001	region	1	2210	FAM_00152	NZ_MKUY01000005.1	1	GCF_001899045.1
NZ_JBNMEO010000017.1.region001.gbk_region_1	NZ_JBNMEO010000017.1.region001	region	1	2250	FAM_00153	NZ_JBNMEO010000017.1	1	GCF_051302775.1
NZ_JAGXTP010000002.1.region001.gbk_region_1	NZ_JAGXTP010000002.1.region001	region	1	2250	FAM_00153	NZ_JAGXTP010000002.1	1	GCF_018334155.1
NZ_CP118245.1.region003.gbk_region_3	NZ_CP118245.1.region003	region	3	2250	FAM_00153	NZ_CP118245.1	3	GCF_028816435.1
NZ_CM147870.1.region006.gbk_region_6	NZ_CM147870.1.region006	region	6	2250	FAM_00153	NZ_CM147870.1	6	GCF_055808475.1
NZ_JAPWHK010000006.1.region001.gbk_region_1	NZ_JAPWHK010000006.1.region001	region	1	2250	FAM_00153	NZ_JAPWHK010000006.1	1	GCF_027214225.1
